Codigo;Descripcion;FECHA;CLIENTE;CONTACTO;RUC ;DIRECCIÓN ;FACTURA DE VENTA;Serie;Factura Proveedor ;Fecha Proveedor ;Proveedor
4178;"NOTEBOOK DELL LATITUDE 5540 SPA I7-1355U 16GB(2X8)/512GB SSD 15.6"" W11P 3YS R09Y3";;;;;;;3VJS824;1506288;1/8/2024;Intcomex
4178;"NOTEBOOK DELL LATITUDE 5540 SPA I7-1355U 16GB(2X8)/512GB SSD 15.6"" W11P 3YS R09Y3";;;;;;;6VJS824;1506288;1/8/2024;Intcomex
4178;"NOTEBOOK DELL LATITUDE 5540 SPA I7-1355U 16GB(2X8)/512GB SSD 15.6"" W11P 3YS R09Y3";;;;;;;FVHS824;1506288;1/8/2024;Intcomex
4178;"NOTEBOOK DELL LATITUDE 5540 SPA I7-1355U 16GB(2X8)/512GB SSD 15.6"" W11P 3YS R09Y3";;;;;;;GCJS824;1506288;1/8/2024;Intcomex
4178;"NOTEBOOK DELL LATITUDE 5540 SPA I7-1355U 16GB(2X8)/512GB SSD 15.6"" W11P 3YS R09Y3";;;;;;;HWHS824;1506288;1/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;CG42RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;JH92RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;BMF1RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;FR92RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;BNF1RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;3YR2RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;8S92RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;6H42RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;6R92RW3;1506288;15/8/2024;Intcomex
4500;"NOTEBOOK DELL INSPIRON 3520 i3-1215U 8GB/512GB 15.6"" W11H P9DVJ";;;;;;;8MD0RW3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;3PXBGX3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;1QH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;D9H45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;D6J45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;JBH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;27J45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;7QH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;DWH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;2WH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;D5J45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;BWH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;BVH45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;28J45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;29H45Y3;1506288;15/8/2024;Intcomex
4475;"NOTEBOOK DELL LATITUDE 5540 i5-1335U 8GB/512GB SSD 15.6"" W11P 3YRS WVFTF";;;;;;;DQH45Y3;1506288;15/8/2024;Intcomex
4923;;;;;;;;738T754;1507361;21/8/2024;Intcomex
4923;;;;;;;;JM3S654;1507361;21/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;2ZS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;CWS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;DXS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;HXS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;6YS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;3YS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;BSP9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;HVS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;2YS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;2TP9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;DVS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;8ZS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;BVS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;1WS9Z24;1504338;9/8/2024;Intcomex
4187;CPU DELL OPTIPLEX MFF 7010 I5-13500T 8GB/512GB W11P 3YRS 983TC;;;;;;;DYS9Z24;1504338;9/8/2024;Intcomex
4921;MULTI FUNCIONAL EPSON ECOTANK L15160 C11CH71301;;;;;;;X6MH000553;1506499;16/8/2024;Intcomex
3315;MULTIFUNCIONAL HP LASERJET ENTERPRISE M480F 3QA55A;;;;;;;CNCRS3N6HB;1506525;16/8/2024;Intcomex
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431U0N;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34KJTPJ;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431KZF;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX12D34CF2HP;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34D2280;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX72D245KN57;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D343175J;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34D20LD;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX12D34CFF3T;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX72D245KL6Y;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431TYT;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34D22EA;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34D2CPH;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431CUD;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX72D245KH8K;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34D2P82;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX72D245KEE7;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431L5L;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D3431K24;470459;20/8/2024;Us Tegnologi
4287;DISCO DURO INTERNO P/PC 4TB WESTERN DIGITAL 5400RPM WD43PURZ;;;;;;;WX22D34KJ46J;470459;20/8/2024;Us Tegnologi
